PlotCode,CensusNo,ChaveMoist,BasalArea,MeanGr,Trees,Dead,Recruits
SAN-01,1,199.2437978,19.09819884,NA,252,0,0
SAN-02,1,231.9265811,19.76575351,NA,267,0,0
SAN-03,1,225.2371599,21.42776755,NA,387,0,0
SAN-04,1,315.6120059,26.74020387,NA,475,0,0
SAN-05,1,333.7648798,24.13816954,NA,406,0,0
SAN-06,1,341.8982387,25.96374039,NA,433,0,0
SAN-07,1,421.8504336,29.31304652,NA,329,0,0
SAN-08,1,335.3216879,30.71908359,NA,379,0,0
SAN-09,1,366.9917265,27.59707641,NA,355,0,0
SAN-10,1,239.4084258,18.15097253,NA,277,0,0
SAN-11,1,362.9106076,30.56055568,NA,435,0,0
SAN-12,1,315.485474,24.64493828,NA,348,0,0
SAN-13,1,372.0695279,32.02869104,NA,481,0,0
SAN-14,1,374.4260371,28.92726365,NA,386,0,0
SAN-15,1,431.2191857,33.76900064,NA,417,0,0
SAN-16,1,405.0425384,27.85012698,NA,347,0,0
SAN-17,1,327.882957,26.6822407,NA,430,0,0
SAN-18,1,288.1109834,22.91335682,NA,430,0,0
SAN-19,1,360.476522,23.55178656,NA,331,0,0
SAN-20,1,342.307777,25.20458945,NA,328,0,0
SAN-21,1,486.7038091,31.00810932,NA,373,0,0
SAN-22,1,595.4953295,36.22434458,NA,367,0,0
SAN-23,1,511.055412,36.01594389,NA,354,0,0
SAN-24,1,405.9152648,30.2882173,NA,336,0,0
SAN-25,1,374.2234453,26.83467313,NA,332,0,0
SAN-26,1,358.9425378,26.9457088,NA,454,0,0
SAN-27,1,453.0736987,31.3637761,NA,309,0,0
SAN-28,1,542.547378,37.05924011,NA,445,0,0
SAN-29,1,363.6857915,26.23267958,NA,382,0,0
SAN-30,1,463.6534533,31.43292098,NA,397,0,0
SAN-01,2,202.319884,19.17866681,2.587985155,259,18,25
SAN-02,2,246.7467647,20.63379991,3.12917922,252,18,3
SAN-03,2,235.8359314,22.25770486,2.083819649,389,21,23
SAN-04,2,314.0529794,26.79657032,1.813208257,466,28,19
SAN-05,2,360.6835161,26.12690843,4.749204762,394,26,14
SAN-06,2,365.4278856,27.57674638,2.581346765,430,18,15
SAN-07,2,454.5255471,31.22242799,3.484777423,318,15,4
SAN-08,2,340.0223225,30.90205387,2.11950708,371,22,14
SAN-09,2,376.6974147,28.20588329,2.143484223,353,18,16
SAN-10,2,258.5874789,19.33372326,3.580294814,268,26,17
SAN-11,2,388.3311575,32.08281519,2.603900778,417,24,6
SAN-12,2,330.8426052,25.42977489,3.32460361,332,23,7
SAN-13,2,412.2332343,34.7277244,3.696312364,464,20,3
SAN-14,2,412.9647959,31.41201054,3.776422764,373,17,4
SAN-15,2,475.6929975,36.6445161,4.05633627,410,11,4
SAN-16,2,419.2588557,28.30135315,4.584133293,310,41,4
SAN-17,2,317.5583177,25.64665081,2.937630461,364,78,12
SAN-18,2,241.331971,20.60747415,2.63046628,409,38,17
SAN-19,2,334.5259265,21.88472477,2.769321126,291,47,7
SAN-20,2,334.2459518,25.00217742,3.606932348,300,37,9
SAN-21,2,503.828617,31.73366172,2.04971807,363,22,12
SAN-22,2,622.4211577,37.5030639,1.639605328,354,14,1
SAN-23,2,524.7567581,36.45871603,2.038757475,345,16,7
SAN-24,2,420.6075879,30.9908769,1.689763981,322,18,4
SAN-25,2,379.6756055,26.851139,1.923216217,324,15,7
SAN-26,2,373.4587849,27.94705611,2.049026516,448,18,12
SAN-27,2,464.8288186,31.98632666,2.049852703,307,13,11
SAN-28,2,564.3745692,38.24915759,1.793325527,435,18,8
SAN-29,2,379.8997244,27.18803005,1.786438956,378,10,6
SAN-30,2,471.9225049,31.9305414,1.894311347,394,14,11
